
Eps: 0.001
  i          x         y         f(x,y)                  (s1,s2)         lambda              x2-x1, y2-y1, f2-f1          angle                grad
 18   -3.24834   10.5581        18.0525    -0.124312,   0.992243       0.1815450.002747020.000271108,  0.0329437       0.903168    {-0.160752,1.28311}, 
 19   -3.22577    10.378        17.9334    -0.992243,  -0.124311     0.00521701 0.0225682   0.180137,   0.119116       0.160995    {-44.0803,-5.52253}, 
 20   -3.22059   10.3786        17.8175     -0.14597,   0.989289        1.007210.005176540.000648534,   0.115865       0.904839    {-0.189034,1.28115}, 
 21   -3.07357   9.38219        17.0118    -0.989289,  -0.145969      0.0114346  0.147023   0.996427,   0.805749       0.153699    {-87.6128,-12.9273}, 
 22   -3.06226   9.38386        16.5061    -0.178492,   0.983941        3.84386 0.0113121  0.0016691,   0.505668       0.899629    {-0.233721,1.28839}, 
 23   -2.37616   5.60173        11.5957    -0.983941,  -0.178491      0.0105769  0.686097    3.78214,     4.9104       0.188874    {-48.9625,-8.88201}, 
 24   -2.36575   5.60361         11.333    -0.194707,   0.980861       0.715161  0.010407 0.00188788,   0.262728       0.841082    {-0.271043,1.36541}, 
 25   -2.22651   4.90214        10.7149    -0.980862,  -0.194707      0.0136528  0.139247   0.701474,   0.618026       0.192575    {-55.6048,-11.0379}, 
 26   -2.21311    4.9048        10.3289    -0.210795,    0.97753         0.7901 0.0133915 0.00265828,   0.386031       0.824498    {-0.298533,1.38441}, 
 27   -2.04657   4.13245        9.59493     -0.97753,  -0.210794      0.0150193  0.166549   0.772346,   0.733968       0.201281    {-51.9191,-11.1958}, 
 28   -2.03188   4.13562        9.19731    -0.221454,   0.975171       0.554341 0.0146818 0.00316598,   0.397616       0.799404    {-0.320924,1.41318}, 
 29   -1.90912   3.59504        8.71009    -0.975171,  -0.221454      0.0144734  0.122761   0.540577,   0.487228       0.210153    {-43.7778,-9.94162}, 
 30   -1.89501   3.59825        8.38624     -0.23081,   0.972999       0.429457  0.014114 0.00320519,   0.323841       0.777319    {-0.341049,1.43772}, 
 31   -1.79589   3.18039        8.01785    -0.972999,   -0.23081      0.0140431 0.0991231   0.417861,    0.36839       0.217808    {-37.7879,-8.96386}, 
 32   -1.78222   3.18363        7.74611    -0.233337,   0.972396       0.283481  0.013664  0.0032413,   0.271748       0.755422    {-0.350974,1.46263}, 
 33   -1.71608   2.90797        7.51354    -0.972396,  -0.233336      0.0124593 0.0661465   0.275656,   0.232565       0.226244    {-30.7907,-7.38854}, 
 34   -1.70396   2.91088        7.31688    -0.239125,   0.970989       0.245444 0.0121154 0.00290721,   0.196667       0.739524    {-0.364461,1.47992}, 
 35   -1.64527   2.67256        7.11544    -0.970989,  -0.239124      0.0122235 0.0586919   0.238323,   0.201431       0.231603    {-27.8973,-6.87024}, 
 36    -1.6334   2.67548         6.9404    -0.243525,   0.969895       0.209165 0.0118689 0.00292293,   0.175049       0.723807    {-0.37591,1.49715}, 
 37   -1.58246   2.47261        6.76882    -0.969895,  -0.243523      0.0118533 0.0509369   0.202868,   0.171575       0.236984    {-25.1524,-6.31532}, 
 38   -1.57097    2.4755        6.61559    -0.249219,   0.968447       0.190788 0.0114965 0.00288656,   0.153234       0.709302    {-0.389266,1.51266}, 
 39   -1.52342   2.29073        6.45807    -0.968447,  -0.249218      0.0118277  0.047548   0.184768,   0.157511       0.241122    {-23.3722,-6.01455}, 
 40   -1.51196   2.29368         6.3158    -0.253829,   0.967249        0.17047 0.0114545 0.00294767,   0.142272       0.694479    {-0.401174,1.52872}, 
 41   -1.46869   2.12879        6.17436     -0.96725,  -0.253827      0.0116704 0.0432703   0.164887,   0.141441       0.245449    {-21.545,-5.65387}, 
 42    -1.4574   2.13175         6.0448    -0.257925,   0.966165       0.152754 0.0112882 0.00296227,   0.129557       0.679873    {-0.412365,1.54468}, 
 43   -1.41801   1.98417        5.91737    -0.966165,  -0.257923      0.0115088 0.0393992   0.147586,   0.127438       0.249584    {-19.9085,-5.3147}, 
 44   -1.40689   1.98714         5.7992    -0.260283,   0.965532       0.133673 0.0111194 0.00296839,   0.118172       0.665209    {-0.420864,1.56122}, 
 45   -1.37209   1.85807         5.6872    -0.965533,   -0.26028      0.0111916 0.0347927   0.129065,   0.111994       0.254151    {-18.2296,-4.91418}, 
 46   -1.36129   1.86098        5.58189    -0.264693,   0.964333       0.124692 0.0108059 0.00291296,   0.105314       0.651878    {-0.432512,1.57574}, 
 47   -1.32828   1.74074        5.47658    -0.964334,  -0.264689      0.0112031 0.0330051   0.120245,   0.105307       0.257131    {-17.1937,-4.71931}, 
 48   -1.31748    1.7437        5.37703    -0.268956,   0.963153       0.116451 0.0108035 0.00296534,  0.0995465       0.638461    {-0.444132,1.59047}, 
 49   -1.28616   1.63154        5.27788    -0.963154,  -0.268951      0.0112173 0.0313202    0.11216,  0.0991572       0.259937    {-16.2307,-4.53226}, 
 50   -1.27535   1.63456        5.18369    -0.272137,   0.962259       0.107065  0.010804  0.0030169,  0.0941876       0.624729    {-0.454201,1.60603}, 
 51   -1.24622   1.53154        5.09183     -0.96226,  -0.272133      0.0111387 0.0291364   0.103024,  0.0918592       0.263037    {-15.2223,-4.30495}, 
 52    -1.2355   1.53457        5.00403    -0.275642,    0.96126      0.0997964 0.0107183  0.0030312,  0.0877967       0.611314    {-0.464894,1.62125}, 
