
Eps: 0.001
  i          x         y         f(x,y)                  (s1,s2)         lambda              x2-x1, y2-y1, f2-f1          angle                grad
136    5.50472   5.54182        20.4302     0.209421,   0.977826      0.0639234 0.0401275 0.00761013,     0.2368       0.745845    {1.58919,7.42025}, 
137    5.49133   5.47932        20.1865     0.978438,  -0.206542      0.0408428 0.0133869   0.062506,   0.243637         0.4843    {11.3862,-2.40357}, 
138    5.45137   5.48775        19.9471     0.218188,   0.975907      0.0644323 0.0399621 0.00843576,   0.239462       0.749265    {1.62673,7.27601}, 
139    5.43731   5.42487        19.7052     0.976852,  -0.213915      0.0404311 0.0140583  0.0628799,   0.241832       0.478185    {11.3629,-2.48829}, 
140    5.39782   5.43352        19.4683     0.225805,   0.974172      0.0647467 0.0394953 0.00864881,   0.236957       0.752059    {1.65512,7.14052}, 
141     5.3832   5.37045        19.2287     0.975534,  -0.219847      0.0401767 0.0146202  0.0630745,   0.239587       0.473132    {11.3167,-2.55034}, 
142    5.34401   5.37928        18.9948     0.225513,    0.97424      0.0639234 0.0391938 0.00883272,   0.233882       0.751042    {1.63305,7.05496}, 
143    5.32959     5.317        18.7612     0.975561,  -0.219727      0.0393534 0.0144156  0.0622768,   0.233624       0.472669    {11.1765,-2.51729}, 
144     5.2912   5.32565        18.5331     0.238465,   0.971151        0.06557 0.0383917   0.008647,   0.228113       0.756267    {1.69194,6.89045}, 
145    5.27556   5.26197        18.2989     0.972124,  -0.234466       0.039099 0.0156361  0.0636784,   0.234178       0.460853    {11.2691,-2.718}, 
146    5.23755   5.27114        18.0697     0.253158,   0.967425       0.067411 0.0380091 0.00916741,   0.229239       0.762129    {1.7578,6.71731}, 
147    5.22049   5.20592        17.8337     0.968635,  -0.248489       0.039099 0.0170656  0.0652151,   0.235939       0.449458    {11.3536,-2.91258}, 
148    5.18261   5.21564        17.6033     0.257497,   0.966279       0.067411 0.0378727 0.00971566,   0.230388       0.763138    {1.76014,6.60508}, 
149    5.16526    5.1505        17.3711     0.967452,  -0.253055      0.0386874 0.0173581  0.0651378,   0.232202       0.445336    {11.2814,-2.95085}, 
150    5.12783   5.16029        17.1444     0.262025,   0.965061       0.067411 0.0374282 0.00979004,   0.226773       0.764198    {1.76286,6.49279}, 
151    5.11016   5.09524        16.9157      0.96629,  -0.257454      0.0380213 0.0176633  0.0650557,   0.228616       0.441331    {11.206,-2.98568}, 
152    5.07343   5.10502        16.6926     0.277691,    0.96067      0.0700752 0.0367396 0.00978875,   0.223092       0.770144    {1.82685,6.32}, 
153    5.05397   5.03771        16.4611     0.961383,  -0.275214      0.0380213 0.0194592  0.0673192,    0.23157       0.426794    {11.3599,-3.25199}, 
154    5.01741   5.04817        16.2342      0.29276,   0.956186      0.0725451  0.036553   0.010464,   0.226872       0.775597    {1.88341,6.15142}, 
155    4.99617    4.9788        15.9996     0.957036,  -0.289971      0.0380213 0.0212383  0.0693666,   0.234619       0.414461    {11.4666,-3.47424}, 
156    4.95979   4.98983        15.7702     0.303134,   0.952948      0.0738772 0.0363878  0.0110251,   0.229426       0.778862    {1.91125,6.00832}, 
157    4.93739   4.91943        15.5353     0.954259,   -0.29898      0.0376097 0.0223947  0.0704011,   0.234831       0.406626    {11.4678,-3.59297}, 
158     4.9015   4.93067        15.3068      0.31982,   0.947478      0.0773648 0.0358894  0.0112445,   0.228523       0.784578    {1.96919,5.83381}, 
159    4.87676   4.85737        15.0669     0.948664,  -0.316284      0.0376097 0.0247428  0.0733014,   0.239944       0.391991    {11.6314,-3.87792}, 
160    4.84108   4.86927        14.8333     0.341068,   0.940038      0.0830819  0.035679  0.0118954,   0.233522       0.791789    {2.04522,5.63694}, 
