
Eps: 0.001
  i          x         y         f(x,y)                  (s1,s2)         lambda              x2-x1, y2-y1, f2-f1          angle                      grad, H1
 24    1.21611   1.46538      0.0650238    0.0673847,   0.150359        2.26075   0.19607   0.508191,   0.147611       0.146097    {7.01645,-2.70709},  { { 0.155905,0.379194 }, {0.379194, 0.927282} }
 25    1.06377   1.12546     0.00783963    0.0368918,  0.0723461        1.68885   0.15234   0.339924,  0.0571841       0.074036    {2.74128,-1.22853},  { { 0.289264,0.615419 }, {0.615419, 1.31433} }
 26    1.00146   1.00328    1.43556e-05    0.0034037, 0.00716682       0.720181 0.0623046   0.122181, 0.00782528     0.00743528    {-0.137062,0.0698925},  { { 1.1625,2.3284 }, {2.3284, 4.66863} }
 27   0.999013  0.998118    1.81712e-06   -0.0020499,-0.00400397       0.5693440.00245128 0.00516141,1.25385e-05    -0.00426652    {-0.0386494,0.0183555},  { { 1.03811,2.07417 }, {2.07417, 4.14924} }

Eps: 1e-06
  i          x         y         f(x,y)                  (s1,s2)         lambda              x2-x1, y2-y1, f2-f1          angle                      grad, H1
  1         10        10         810081  0.000499986,     -89.99              1         0          0,          0       -8.64186    {360018,-18000},  { { 2.7777e-05,0.00055554 }, {0.00055554, 0.0161108} }
  2     9.9995     99.99         80.991      18.2624,    365.229      0.01922180.000499986      89.99,     810000          78.73    {17.8548,0.00721033},  { { 1.01463,20.2916 }, {20.2916, 405.817} }
  3    9.64847   92.9697        76.3135     0.344039,    6.51571        1.27393  0.351035    7.02035,    4.67747        6.09121    {492.735,-24.638},  { { 0.0198902,0.383819 }, {0.383819, 7.41154} }
  4    9.21018   84.6691        69.9144     0.255218,    4.54287        2.29629  0.438283    8.30058,    6.39909        4.31339    {599.779,-31.6692},  { { 0.0155428,0.286304 }, {0.286304, 5.27883} }
  5    8.62413   74.2374        60.0372     0.270938,    4.53501        1.88699  0.586056    10.4318,    9.87725        4.27605    {491.986,-27.6397},  { { 0.0177685,0.306475 }, {0.306475, 5.29116} }
  6    8.11287   65.6798        52.5195     0.251687,    3.94501        2.11362  0.511258    8.55753,    7.51766        3.72368    {464.664,-27.7607},  { { 0.0176924,0.287072 }, {0.287072, 4.66296} }
  7     7.5809   57.3416        44.9573     0.251334,    3.68225        1.99486  0.531972    8.33826,    7.56219        3.46248    {402.576,-25.6839},  { { 0.0190957,0.289525 }, {0.289525, 4.39472} }
  8    7.07952    49.996        38.4887     0.241025,    3.28907        2.06333  0.501376    7.34558,    6.46865        3.08865    {362.221,-24.7236},  { { 0.0198227,0.280671 }, {0.280671, 3.97903} }
  9    6.58221   43.2096        32.5037     0.235785,     2.9881        2.02914  0.497314    6.78643,    5.98499        2.79767    {316.249,-23.175},  { { 0.0211194,0.278024 }, {0.278024, 3.66502} }
 10    6.10376   37.1463        27.2508     0.227533,    2.66796         2.0519  0.478441    6.06327,    5.25289        2.49227    {277.93,-21.9309},  { { 0.0222907,0.272114 }, {0.272114, 3.32684} }
 11    5.63689   31.6719         22.554     0.220539,    2.38368        2.04351  0.466875    5.47439,    4.69686        2.22023    {240.671,-20.5253},  { { 0.0237809,0.2681 }, {0.2681, 3.0275} }
 12    5.18622   26.8008        18.4463     0.212468,     2.1078        2.05309  0.450672    4.87106,    4.10768        1.95783    {207.552,-19.2028},  { { 0.0253771,0.263222 }, {0.263222, 2.73525} }
 13       4.75   22.4733        14.8577     0.204532,    1.85388        2.05325  0.436215    4.32749,    3.58859        1.71671    {176.928,-17.8345},  { { 0.0272709,0.259074 }, {0.259074, 2.4662} }
 14    4.33005   18.6669        11.7689      0.19602,    1.61511        2.05963  0.419956    3.80649,    3.08882        1.49103    {149.45,-16.4883},  { { 0.029432,0.254884 }, {0.254884, 2.21232} }
 15    3.92632   15.3403        9.13546     0.187251,    1.39477        2.06354  0.403729    3.32653,    2.63341        1.28357    {124.646,-15.1278},  { { 0.0319943,0.251239 }, {0.251239, 1.97789} }
 16    3.53992   12.4622        6.92534     0.177966,    1.19111        2.07029    0.3864    2.87817,    2.21011        1.09282    {102.583,-13.7719},  { { 0.0350339,0.248034 }, {0.248034, 1.76104} }
 17    3.17148   9.99621        5.10032     0.168202,    1.00485        2.07721  0.368441    2.46595,    1.82502       0.919352    {83.0584,-12.4099},  { { 0.0387299,0.245662 }, {0.245662, 1.56322} }
 18    2.82208   7.90893        3.62507       0.1578,   0.835416        2.08651  0.349391    2.08728,    1.47525       0.762644    {65.9942,-11.0468},  { { 0.043302,0.244404 }, {0.244404, 1.38446} }
 19    2.49283   6.16583        2.46275     0.146662,   0.682812         2.0978   0.32925     1.7431,    1.16232       0.622623    {51.2408,-9.67877},  { { 0.0491218,0.244905 }, {0.244905, 1.22602} }
 20    2.18517   4.73343        1.57711     0.134581,   0.546631        2.11283  0.307666     1.4324,   0.885638       0.498841    {38.672,-8.30638},  { { 0.056777,0.248135 }, {0.248135, 1.08943} }
 21    1.90082   3.57849       0.931436     0.121291,   0.426468        2.13302  0.284347    1.15494,   0.645676       0.390771    {28.1355,-6.92697},  { { 0.0673222,0.255935 }, {0.255935, 0.977973} }
 22    1.64211   2.66882       0.488983     0.106339,   0.321547        2.16187  0.258715   0.909666,   0.442454       0.297438    {19.4732,-5.53831},  { { 0.0828046,0.271948 }, {0.271948, 0.898134} }
 23    1.41222   1.97368        0.21267    0.0889329,   0.230509        2.20478  0.229891   0.695145,   0.276313        0.21711    {12.5038,-4.13513},  { { 0.107872,0.304677 }, {0.304677, 0.865538} }
 24    1.21614   1.46546      0.0650399    0.0673886,   0.150371        2.26076  0.196077   0.508221,    0.14763       0.146108    {7.01727,-2.70734},  { { 0.155892,0.379174 }, {0.379174, 0.927255} }
 25    1.06379    1.1255      0.0078437    0.0368981,  0.0723596        1.68913   0.15235   0.339953,  0.0571962      0.0740491    {2.74189,-1.22878},  { { 0.289222,0.615342 }, {0.615342, 1.31419} }
 26    1.00146   1.00328    1.43508e-05   0.00340071, 0.00716081        0.72041 0.0623258   0.122225, 0.00782935     0.00742898    {-0.137058,0.0698896},  { { 1.16249,2.32839 }, {2.32839, 4.66858} }
 27   0.999013  0.998118     1.8155e-06  -0.00204963,-0.00400351       0.569252 0.0024499 0.00515872,1.25353e-05    -0.00426601    {-0.0386183,0.01834},  { { 1.03808,2.0741 }, {2.0741, 4.14911} }
 28    1.00018    1.0004    1.77685e-07  0.000364624,0.000767518       0.7572050.00116675 0.00227901,1.63782e-06    0.000800096    {-0.014899,0.00762767},  { { 1.01549,2.03135 }, {2.03135, 4.06843} }

Eps: 1e-07
  i          x         y         f(x,y)                  (s1,s2)         lambda              x2-x1, y2-y1, f2-f1          angle                      grad, H1
  1         10        10         810081  0.000499986,     -89.99              1         0          0,          0       -8.64186    {360018,-18000},  { { 2.7777e-05,0.00055554 }, {0.00055554, 0.0161108} }
  2     9.9995     99.99         80.991      18.0431,    360.845      0.01945360.000499986      89.99,     810000        78.5243    {17.9745,0.00122317},  { { 1.00245,20.048 }, {20.048, 400.946} }
  3     9.6485   92.9703        76.3143     0.344021,    6.51537        1.27406  0.351003    7.01971,    4.67675        6.09092    {492.764,-24.6394},  { { 0.0198891,0.383799 }, {0.383799, 7.41117} }
  4    9.21019   84.6693        69.9146     0.255219,    4.54288        2.29629  0.438303    8.30097,    6.39962         4.3134    {599.78,-31.6692},  { { 0.0155428,0.286304 }, {0.286304, 5.27884} }
  5    8.62414   74.2376        60.0374     0.270938,    4.53501          1.887  0.586056    10.4318,    9.87725        4.27605    {491.987,-27.6398},  { { 0.0177684,0.306475 }, {0.306475, 5.29116} }
  6    8.11288     65.68        52.5197     0.251688,    3.94502        2.11362  0.511259    8.55756,    7.51769        3.72369    {464.665,-27.7607},  { { 0.0176924,0.287072 }, {0.287072, 4.66297} }
  7    7.58091   57.3417        44.9575     0.251334,    3.68225        1.99487  0.531972    8.33827,    7.56219        3.46249    {402.577,-25.684},  { { 0.0190957,0.289525 }, {0.289525, 4.39472} }
  8    7.07953   49.9961        38.4888     0.241025,    3.28907        2.06333  0.501377     7.3456,    6.46867        3.08866    {362.222,-24.7236},  { { 0.0198227,0.280671 }, {0.280671, 3.97903} }
  9    6.58222   43.2097        32.5038     0.235785,     2.9881        2.02914  0.497314    6.78644,    5.98499        2.79768    {316.25,-23.175},  { { 0.0211193,0.278024 }, {0.278024, 3.66503} }
 10    6.10377   37.1464        27.2509     0.227533,    2.66796         2.0519  0.478442    6.06329,    5.25291        2.49228    {277.931,-21.9309},  { { 0.0222906,0.272114 }, {0.272114, 3.32685} }
 11     5.6369    31.672         22.554     0.220539,    2.38368        2.04351  0.466876    5.47441,    4.69688        2.22023    {240.672,-20.5253},  { { 0.0237809,0.2681 }, {0.2681, 3.02751} }
 12    5.18623   26.8009        18.4464     0.212468,     2.1078        2.05309  0.450673    4.87107,    4.10769        1.95784    {207.553,-19.2029},  { { 0.025377,0.263222 }, {0.263222, 2.73526} }
 13    4.75001   22.4734        14.8578     0.204532,    1.85389        2.05325  0.436216    4.32751,    3.58861        1.71672    {176.929,-17.8346},  { { 0.0272709,0.259074 }, {0.259074, 2.46621} }
 14    4.33005   18.6669        11.7689      0.19602,    1.61511        2.05963  0.419956     3.8065,    3.08883        1.49104    {149.451,-16.4883},  { { 0.0294319,0.254884 }, {0.254884, 2.21232} }
 15    3.92632   15.3404         9.1355     0.187251,    1.39478        2.06354  0.403729    3.32654,    2.63342        1.28357    {124.646,-15.1278},  { { 0.0319942,0.251239 }, {0.251239, 1.97789} }
