  i                 x,y         f(x,y)   (s1,s2)    lambdax2-x1, y2-y1, f2-f1     angle       grad, H1
464    2.2792,  2.39549         2.9887
465 -0.267355,-0.382569        2.93362
466    2.2556,  2.36974        2.87943
467 -0.243921,-0.357005        2.82613
468   2.23233,  2.34436        2.77371
469 -0.220822,-0.331806        2.72215
470    2.2094,  2.31934        2.67144
471 -0.198056, -0.30697        2.62157
472    2.1868,  2.29469        2.57252
473  -0.17562,-0.282494         2.5243
474   2.16452,  2.27039        2.47687
475 -0.153511,-0.258375        2.43025
476   2.14258,  2.24645         2.3844
477 -0.131727,-0.234611        2.33932
478   2.12096,  2.22286        2.29501
479 -0.110265,-0.211198        2.25144
480   2.09965,  2.19962        2.20861
481-0.0891226,-0.188134        2.16651
482   2.07867,  2.17673        2.12512
483-0.0682969,-0.165415        2.08445
484     2.058,  2.15418        2.04447
485-0.0477852,-0.143038        2.00517
486   2.03765,  2.13198        1.96655
487-0.0275847,-0.121002         1.9286
488    2.0176,  2.11011         1.8913
489-0.00769272,-0.0993011        1.85466
490   1.99786,  2.08858        1.81864
491 0.0118937,-0.0779342        1.78326
492   1.97843,  2.06737        1.74849
493 0.0311773,-0.0568975        1.71433
494   1.95929,   2.0465        1.68078
495 0.0501609,-0.0361881        1.64781
496   1.94046,  2.02596        1.61542
497 0.0688474,-0.0158028        1.58361
498   1.92192,  2.00573        1.55236
499 0.0872397,0.00426149        1.52167
500   1.90367,  1.98583        1.49152
501  0.105341, 0.024008        1.46192
502   1.88572,  1.96624        1.43284
503  0.123153,0.0434398        1.40428
504   1.86805,  1.94696        1.37624
505   0.14068,  0.06256         1.3487
506   1.85066,    1.928        1.32167
507  0.157924, 0.081372        1.29512
508   1.83356,  1.90934        1.26905
509  0.174889,0.0998788        1.24346
510   1.81673,  1.89098        1.21834
511  0.191577, 0.118084        1.19367
512   1.80018,  1.87293        1.16946
513  0.207991,  0.13599        1.14569
514    1.7839,  1.85517        1.12236
515  0.224134, 0.153601        1.09946
516    1.7679,   1.8377        1.07699
517  0.240009, 0.170919        1.05493
518   1.75215,  1.82053        1.03328
519  0.255619, 0.187948        1.01204
520   1.73667,  1.80364       0.991191
521  0.270968, 0.204692       0.970735
522   1.72146,  1.78704       0.950662
523  0.286057, 0.221153       0.930967
524   1.70649,  1.77072       0.911643
525   0.30089, 0.237335       0.892684
526   1.69179,  1.75468       0.874085
527   0.31547,  0.25324       0.855839
528   1.67733,  1.73891       0.837939
529    0.3298, 0.268873       0.820382
530   1.66313,  1.72341       0.803159
531  0.343882, 0.284235       0.786267
532   1.64917,  1.70818       0.769699
533  0.357721, 0.299332        0.75345
534   1.63545,  1.69322       0.737514
535  0.371318, 0.314165       0.721887
536   1.62197,  1.67852       0.706562
537  0.384677, 0.328738       0.691534
538   1.60873,  1.66407       0.676799
539    0.3978, 0.343054       0.662351
540   1.59573,  1.64988       0.648186
541  0.410691, 0.357117       0.634298
542   1.58295,  1.63595       0.620683
543  0.423352, 0.370929       0.607335
544    1.5704,  1.62226       0.594251
545  0.435787, 0.384495       0.581425
546   1.55808,  1.60881       0.568853
547  0.447998, 0.397815        0.55653
548   1.54598,  1.59561       0.544453
549  0.459988, 0.410896       0.532616
550    1.5341,  1.58265       0.521016
551   0.47176, 0.423738       0.509648
552   1.52244,  1.56993       0.498507
553  0.483317, 0.436346       0.487591
554   1.51098,  1.55744       0.476895
555  0.494662, 0.448722       0.466414
556   1.49974,  1.54518       0.456145
557  0.505797,  0.46087       0.446085
558   1.48871,  1.53314       0.436229
559  0.516726, 0.472792       0.426573
560   1.47789,  1.52133       0.417115
561  0.527451, 0.484493       0.407849
562   1.46726,  1.50974       0.398774
563  0.537976, 0.495974       0.389885
564   1.45684,  1.49837       0.381178
565  0.548302, 0.507239       0.372651
566   1.44661,  1.48721         0.3643
567  0.558434, 0.518291       0.356122
568   1.43657,  1.47626       0.348114
569  0.568372, 0.529133       0.340272
570   1.42673,  1.46552       0.332593
571  0.578121, 0.539768       0.325074
572   1.41707,  1.45499       0.317713
573  0.587683,   0.5502       0.310506
574   1.40761,  1.44466        0.30345
575  0.597061,  0.56043       0.296542
576   1.39832,  1.43453        0.28978
577  0.606257, 0.570462       0.283161
578   1.38921,   1.4246       0.276682
579  0.615274, 0.580299        0.27034
580   1.38028,  1.41486       0.264133
581  0.624115, 0.589943       0.258058
582   1.37153,  1.40531       0.252113
583  0.632782, 0.599398       0.246295
584   1.36295,  1.39594       0.240601
585  0.641278, 0.608667        0.23503
586   1.35454,  1.38677       0.229578
587  0.649606, 0.617752       0.224244
588   1.34629,  1.37777       0.219025
589  0.657768, 0.626656       0.213919
590   1.33821,  1.36896       0.208923
591  0.665767, 0.635382       0.204036
592   1.33029,  1.36032       0.199255
593  0.673605, 0.643933       0.194578
594   1.32254,  1.35186       0.190004
595  0.681285, 0.652311       0.185529
596   1.31493,  1.34356       0.181153
597  0.688809, 0.660519       0.176873
598   1.30749,  1.33544       0.172686
599   0.69618,  0.66856       0.168593
600   1.30019,  1.32748       0.164589
601  0.703401, 0.676437       0.160674
602   1.29304,  1.31969       0.156846
603  0.710473, 0.684152       0.153104
604   1.28605,  1.31205       0.149444
605  0.717399, 0.691708       0.145866
606   1.27919,  1.30457       0.142368
607  0.724182, 0.699108       0.138948
608   1.27248,  1.29725       0.135605
609  0.730824, 0.706353       0.132337
610   1.26591,  1.29008       0.129142
611  0.737326, 0.713447        0.12602
612   1.25947,  1.28306       0.122968
613  0.743693, 0.720392       0.119985
614   1.25317,  1.27619        0.11707
615  0.749925, 0.727191       0.114221
616   1.24701,  1.26946       0.111437
617  0.756025, 0.733846       0.108717
618   1.24097,  1.26288       0.106058
619  0.761996, 0.740359       0.103461
620   1.23507,  1.25644       0.100923
621  0.767839, 0.746734       0.098443
622   1.22929,  1.25013      0.0960203
623  0.773557, 0.752971      0.0936535
624   1.22363,  1.24396      0.0913414
625  0.779152, 0.759075      0.0890827
626    1.2181,  1.23792      0.0868764
627  0.784626, 0.765047      0.0847213
628   1.21268,  1.23202      0.0826164
629  0.789981, 0.770889      0.0805605
630   1.20738,  1.22624      0.0785527
631   0.79522, 0.776604      0.0765917
632    1.2022,  1.22059      0.0746768
633  0.800344, 0.782193      0.0728067
634   1.19714,  1.21506      0.0709807
635  0.805356, 0.787661      0.0691976
636   1.19218,  1.20965      0.0674567
637  0.810256, 0.793007      0.0657568
638   1.18733,  1.20436      0.0640973
639  0.815049, 0.798235      0.0624771
640   1.18259,  1.19919      0.0608954
641  0.819735, 0.803347      0.0593514
642   1.17796,  1.19414      0.0578441
643  0.824316, 0.808345      0.0563729
644   1.17343,   1.1892      0.0549369
645  0.828795, 0.813231      0.0535353
646     1.169,  1.18437      0.0521674
647  0.833173, 0.818007      0.0508324
648   1.16468,  1.17965      0.0495296
649  0.837452, 0.822675      0.0482582
650   1.16045,  1.17503      0.0470175
651  0.841634, 0.827237      0.0458069
652   1.15631,  1.17052      0.0446257
653  0.845721, 0.831696      0.0434732
654   1.15227,  1.16611      0.0423487
655  0.849714, 0.836052      0.0412517
656   1.14832,  1.16181      0.0401814
657  0.853616, 0.840309      0.0391374
658   1.14447,   1.1576      0.0381189
659  0.857429, 0.844467      0.0371255
660    1.1407,  1.15349      0.0361565
661  0.861153,  0.84853      0.0352113
662   1.13702,  1.14947      0.0342895
663   0.86479, 0.852498      0.0333905
664   1.13342,  1.14555      0.0325138
665  0.868343, 0.856374      0.0316587
666   1.12991,  1.14172       0.030825
667  0.871813,  0.86016       0.030012
668   1.12648,  1.13798      0.0292192
669  0.875202, 0.863856      0.0284462
670   1.12313,  1.13433      0.0276926
671   0.87851, 0.867466      0.0269579
672   1.11986,  1.13076      0.0262416
673  0.881741,  0.87099      0.0255433
674   1.11667,  1.12728      0.0248625
675  0.884895, 0.874431       0.024199
676   1.11356,  1.12388      0.0235522
677  0.887974, 0.877789      0.0229218
678   1.11051,  1.12056      0.0223073
679  0.890979, 0.881068      0.0217084
680   1.10755,  1.11732      0.0211248
681  0.893912, 0.884268       0.020556
682   1.10465,  1.11416      0.0200018
